gr_number,po_number,po_line_item,received_qty,receipt_date,movement_type,storage_location,received_by
GR-10001,4500001,20,130,2026-03-15,101,SL03,USER009
GR-10002,4500001,30,98,2026-03-21,101,SL03,USER007
GR-10003,4500001,30,83,2026-03-26,101,SL01,USER019
GR-10004,4500001,30,119,2026-03-27,101,SL02,USER001
GR-10005,4500001,40,97,2026-03-04,101,SL03,USER008
GR-10006,4500001,40,63,2026-03-12,101,SL04,USER018
GR-10007,4500001,40,90,2026-03-22,101,SL03,USER016
GR-10008,4500002,20,250,2026-07-28,101,SL03,USER006
GR-10009,4500003,10,50,2026-03-09,101,SL05,USER002
GR-10010,4500003,20,29,2026-02-23,101,SL01,USER014
GR-10011,4500003,20,21,2026-03-05,101,SL02,USER003
GR-10012,4500004,10,250,2026-03-01,101,SL03,USER002
GR-10013,4500005,10,746,2026-07-01,101,SL04,USER001
GR-10014,4500006,10,50,2026-02-27,101,SL01,USER017
GR-10015,4500007,10,500,2026-05-28,101,SL01,USER017
GR-10016,4500007,20,822,2026-05-05,101,SL01,USER004
GR-10017,4500008,10,100,2026-05-28,101,SL03,USER009
GR-10018,4500009,10,150,2026-08-05,101,SL04,USER019
GR-10019,4500010,10,619,2026-07-18,101,SL01,USER003
GR-10020,4500010,20,1000,2026-07-17,101,SL01,USER001
GR-10021,4500010,30,200,2026-08-21,101,SL03,USER019
GR-10022,4500013,30,381,2026-04-01,101,SL03,USER018
GR-10023,4500013,30,290,2026-04-07,101,SL02,USER011
GR-10024,4500013,30,329,2026-04-13,101,SL02,USER019
GR-10025,4500014,10,289,2026-08-03,101,SL02,USER019
GR-10026,4500014,10,78,2026-08-13,101,SL05,USER011
GR-10027,4500014,10,133,2026-08-20,101,SL02,USER003
GR-10028,4500015,10,263,2026-05-13,101,SL02,USER003
GR-10029,4500015,20,220,2026-04-20,101,SL03,USER001
GR-10030,4500016,10,34,2026-06-05,101,SL03,USER018
GR-10031,4500016,30,764,2026-05-26,101,SL05,USER010
GR-10032,4500016,40,26,2026-06-25,101,SL04,USER005
GR-10033,4500017,10,100,2026-04-27,101,SL01,USER001
GR-10034,4500018,20,270,2026-06-22,101,SL02,USER014
GR-10035,4500018,30,300,2026-07-23,101,SL01,USER001
GR-10036,4500018,40,1000,2026-06-27,101,SL04,USER001
GR-10037,4500019,10,500,2026-03-05,101,SL05,USER008
GR-10038,4500019,20,200,2026-03-12,101,SL02,USER005
GR-10039,4500020,10,1000,2026-07-09,101,SL01,USER006
GR-10040,4500020,20,100,2026-08-20,101,SL01,USER012
GR-10041,4500020,30,100,2026-08-17,101,SL05,USER020
GR-10042,4500021,10,500,2026-06-07,101,SL01,USER013
GR-10043,4500022,10,205,2026-06-20,101,SL04,USER011
GR-10044,4500023,10,97,2026-02-26,101,SL04,USER011
GR-10045,4500023,10,153,2026-03-04,101,SL04,USER011
GR-10046,4500024,10,348,2026-02-22,101,SL03,USER013
GR-10047,4500024,20,64,2026-03-23,101,SL05,USER018
GR-10048,4500025,10,127,2026-09-05,101,SL02,USER015
GR-10049,4500026,10,81,2026-06-01,101,SL04,USER005
GR-10050,4500026,10,69,2026-06-04,101,SL02,USER009
GR-10051,4500026,20,203,2026-06-15,101,SL04,USER020
GR-10052,4500027,10,500,2026-04-30,101,SL05,USER002
GR-10053,4500027,20,500,2026-03-31,101,SL01,USER008
GR-10054,4500027,30,200,2026-04-20,101,SL05,USER013
GR-10055,4500028,20,27,2026-07-05,101,SL03,USER008
GR-10056,4500029,10,500,2026-04-05,101,SL04,USER012
GR-10057,4500029,20,183,2026-04-01,101,SL03,USER001
GR-10058,4500030,10,1000,2026-07-21,101,SL01,USER005
