invoice_number,po_number,vendor_id,vendor_name,invoice_date,posting_date,due_date,currency,payment_terms,invoice_status,posted_by
INV-80001,4500001,V-2151,Karnataka Forgings,2026-04-02,2026-04-07,2026-05-02,EUR,Net60,Disputed,USER002
INV-80002,4500002,V-2063,Coastal Metals,2026-08-08,2026-08-10,2026-09-07,EUR,AdvancePayment,Blocked,USER020
INV-80003,4500003,V-2107,Gujarat Industries,2026-03-10,2026-03-15,2026-04-09,INR,Net45,Pending Approval,USER001
INV-80004,4500004,V-2140,Jaipur Manufacturing,2026-03-03,2026-03-06,2026-04-02,INR,AdvancePayment,Partially Paid,USER013
INV-80005,4500005,V-2118,Hyderabad Metals,2026-07-06,2026-07-09,2026-08-05,INR,Net45,Disputed,USER005
INV-80006,4500006,V-2085,Eastern Suppliers,2026-03-10,2026-03-15,2026-04-09,USD,Net30,Pending Approval,USER010
INV-80007,4500007,V-2052,Bharat Forgings Ltd,2026-05-30,2026-06-04,2026-06-29,USD,AdvancePayment,Blocked,USER009
INV-80008,4500008,V-2162,Ludhiana Steel Mills,2026-06-09,2026-06-10,2026-07-09,INR,Immediate,Partially Paid,USER004
INV-80009,4500009,V-2085,Eastern Suppliers,2026-08-15,2026-08-15,2026-09-14,USD,AdvancePayment,Paid,USER004
INV-80010,4500010,V-2041,Anand Steel Traders,2026-08-29,2026-08-30,2026-09-28,USD,Net30,Blocked,USER007
INV-80011,4500013,V-2162,Ludhiana Steel Mills,2026-04-27,2026-05-01,2026-05-27,USD,Immediate,Approved,USER012
INV-80012,4500014,V-2074,Delhi Steel Works,2026-08-25,2026-08-26,2026-09-24,INR,Net45,Pending Approval,USER018
INV-80013,4500015,V-2107,Gujarat Industries,2026-05-17,2026-05-22,2026-06-16,INR,AdvancePayment,Partially Paid,USER011
INV-80014,4500016,V-2151,Karnataka Forgings,2026-06-26,2026-07-01,2026-07-26,EUR,Immediate,Pending Approval,USER004
INV-80015,4500017,V-2063,Coastal Metals,2026-05-08,2026-05-11,2026-06-07,EUR,AdvancePayment,Approved,USER003
INV-80016,4500018,V-2107,Gujarat Industries,2026-07-25,2026-07-30,2026-08-24,USD,Net45,Disputed,USER004
INV-80017,4500020,V-2173,Maharashtra Metals,2026-08-28,2026-08-30,2026-09-27,EUR,Net30,Paid,USER015
INV-80018,4500021,V-2140,Jaipur Manufacturing,2026-06-21,2026-06-22,2026-07-21,USD,AdvancePayment,Pending Approval,USER010
INV-80019,4500022,V-2151,Karnataka Forgings,2026-07-01,2026-07-03,2026-07-31,USD,Net60,Partially Paid,USER004
INV-80020,4500023,V-2107,Gujarat Industries,2026-03-17,2026-03-17,2026-04-16,INR,Net60,Pending Approval,USER005
INV-80021,4500024,V-2195,Odisha Steel Works,2026-03-26,2026-03-28,2026-04-25,EUR,Net60,Paid,USER015
INV-80022,4500026,V-2096,Ferro Alloys India,2026-06-27,2026-06-27,2026-07-27,INR,Net60,Paid,USER011
INV-80023,4500027,V-2041,Anand Steel Traders,2026-05-07,2026-05-10,2026-06-06,INR,Net30,Partially Paid,USER009
INV-80024,4500028,V-2173,Maharashtra Metals,2026-07-17,2026-07-20,2026-08-16,INR,Net45,Partially Paid,USER006
INV-80025,4500029,V-2063,Coastal Metals,2026-04-17,2026-04-22,2026-05-17,EUR,Immediate,Pending Approval,USER006
INV-80026,4500030,V-2173,Maharashtra Metals,2026-08-10,2026-08-14,2026-09-09,INR,Net60,Partially Paid,USER019
INV-80027,4500031,V-2118,Hyderabad Metals,2026-07-21,2026-07-25,2026-08-20,INR,Net45,Partially Paid,USER012
INV-80028,4500032,V-2096,Ferro Alloys India,2026-02-24,2026-03-01,2026-03-26,EUR,Net45,Disputed,USER005
INV-80029,4500033,V-2052,Bharat Forgings Ltd,2026-09-08,2026-09-08,2026-10-08,INR,Net45,Partially Paid,USER015
INV-80030,4500034,V-2184,Nagpur Industries,2026-04-28,2026-05-03,2026-05-28,EUR,Net45,Paid,USER001
INV-80031,4500035,V-2074,Delhi Steel Works,2026-06-28,2026-07-02,2026-07-28,EUR,AdvancePayment,Disputed,USER019
INV-80032,4500036,V-2173,Maharashtra Metals,2026-06-18,2026-06-23,2026-07-18,USD,Net45,Paid,USER017
INV-80033,4500037,V-2151,Karnataka Forgings,2026-06-16,2026-06-20,2026-07-16,USD,Immediate,Pending Approval,USER014
