po_number,vendor_id,vendor_name,po_date,plant,currency,payment_terms,po_status,created_by
4500001,V-2151,Karnataka Forgings,2026-01-29,Plant-Chennai,EUR,Net60,Closed,USER008
4500002,V-2063,Coastal Metals,2026-07-08,Plant-Chennai,EUR,AdvancePayment,Open,USER019
4500003,V-2107,Gujarat Industries,2026-01-09,Plant-Chennai,INR,Net45,Closed,USER017
4500004,V-2140,Jaipur Manufacturing,2026-01-07,Plant-Hyderabad,INR,AdvancePayment,Fully Received,USER008
4500005,V-2118,Hyderabad Metals,2026-05-31,Plant-Bangalore,INR,Net45,Fully Received,USER011
4500006,V-2085,Eastern Suppliers,2026-02-09,Plant-Mumbai,USD,Net30,Open,USER013
4500007,V-2052,Bharat Forgings Ltd,2026-04-02,Plant-Kolkata,USD,AdvancePayment,Partially Received,USER002
4500008,V-2162,Ludhiana Steel Mills,2026-04-28,Plant-Hyderabad,INR,Immediate,Open,USER018
4500009,V-2085,Eastern Suppliers,2026-06-10,Plant-Hyderabad,USD,AdvancePayment,Closed,USER003
4500010,V-2041,Anand Steel Traders,2026-06-19,Plant-Mumbai,USD,Net30,Closed,USER004
4500011,V-2107,Gujarat Industries,2026-03-13,Plant-Pune,EUR,Net60,Closed,USER012
4500012,V-2096,Ferro Alloys India,2026-02-23,Plant-Guntur,USD,Net30,Closed,USER018
4500013,V-2162,Ludhiana Steel Mills,2026-03-04,Plant-Mumbai,USD,Immediate,Partially Received,USER018
4500014,V-2074,Delhi Steel Works,2026-06-25,Plant-Bangalore,INR,Net45,Open,USER011
4500015,V-2107,Gujarat Industries,2026-03-10,Plant-Chennai,INR,AdvancePayment,Partially Received,USER007
4500016,V-2151,Karnataka Forgings,2026-05-08,Plant-Pune,EUR,Immediate,Closed,USER009
4500017,V-2063,Coastal Metals,2026-03-05,Plant-Guntur,EUR,AdvancePayment,Partially Received,USER019
4500018,V-2107,Gujarat Industries,2026-05-30,Plant-Pune,USD,Net45,Closed,USER017
4500019,V-2118,Hyderabad Metals,2026-01-24,Plant-Kolkata,INR,Net30,Closed,USER006
4500020,V-2173,Maharashtra Metals,2026-06-24,Plant-Pune,EUR,Net30,Fully Received,USER013
4500021,V-2140,Jaipur Manufacturing,2026-04-30,Plant-Hyderabad,USD,AdvancePayment,Open,USER004
4500022,V-2151,Karnataka Forgings,2026-05-18,Plant-Kolkata,USD,Net60,Open,USER010
4500023,V-2107,Gujarat Industries,2026-02-10,Plant-Pune,INR,Net60,Closed,USER017
4500024,V-2195,Odisha Steel Works,2026-01-28,Plant-Kolkata,EUR,Net60,Closed,USER005
4500025,V-2096,Ferro Alloys India,2026-07-15,Plant-Mumbai,EUR,AdvancePayment,Open,USER020
4500026,V-2096,Ferro Alloys India,2026-05-06,Plant-Chennai,INR,Net60,Partially Received,USER008
4500027,V-2041,Anand Steel Traders,2026-03-03,Plant-Hyderabad,INR,Net30,Fully Received,USER003
4500028,V-2173,Maharashtra Metals,2026-05-17,Plant-Kolkata,INR,Net45,Fully Received,USER018
