po_number,po_line_item,material_code,material_description,order_qty,unit_price,currency,po_value,uom,delivery_date,item_status
4500001,10,MAT-74332,Alloy Steel Bar,1000,3046,EUR,3046000,M,2026-03-25,Open
4500001,20,MAT-41890,MS Round Bar 25mm,200,1000,EUR,200000,MT,2026-03-09,Partially Received
4500001,30,MAT-82140,Iron Angle 50x50,300,791,EUR,237300,MT,2026-03-11,Partially Received
4500001,40,MAT-42951,Carbon Steel Sheet,250,1732,EUR,433000,PC,2026-03-03,Open
4500002,10,MAT-38361,Brass Rod 20mm,150,3122,EUR,468300,M,2026-08-03,Partially Received
4500002,20,MAT-35443,Carbon Steel Sheet,250,1801,EUR,450250,MT,2026-07-28,Closed
4500003,10,MAT-80010,Stainless Sheet 304,50,3819,INR,190950,PC,2026-03-09,Partially Received
4500003,20,MAT-48290,HR Coil 2mm,50,2998,INR,149900,PC,2026-02-27,Fully Received
4500004,10,MAT-72746,Cast Iron Block,250,806,INR,201500,M,2026-02-20,Partially Received
4500005,10,MAT-18564,HR Coil 2mm,1000,2629,INR,2629000,M,2026-06-21,Fully Received
4500006,10,MAT-29555,Nickel Bar 15mm,50,9289,USD,464450,MT,2026-03-04,Open
4500007,10,MAT-88135,MS Round Bar 25mm,500,1135,USD,567500,PC,2026-05-24,Fully Received
4500007,20,MAT-87139,Iron Angle 50x50,1000,882,USD,882000,M,2026-05-05,Partially Received
4500008,10,MAT-91987,Nickel Bar 15mm,100,9966,INR,996600,PC,2026-05-25,Partially Received
4500009,10,MAT-19838,Stainless Sheet 304,150,3691,USD,553650,PC,2026-07-29,Open
4500010,10,MAT-14278,Iron Angle 50x50,1000,826,USD,826000,PC,2026-07-21,Partially Received
4500010,20,MAT-40595,Carbon Steel Sheet,1000,1644,USD,1644000,MT,2026-07-07,Closed
4500010,30,MAT-29528,Steel Pipe 2inch,200,1317,USD,263400,MT,2026-08-13,Closed
4500011,10,MAT-84607,HR Coil 2mm,250,2584,EUR,646000,MT,2026-05-04,Fully Received
4500012,10,MAT-62757,Iron Angle 50x50,250,826,USD,206500,MT,2026-04-22,Fully Received
4500013,10,MAT-52247,MS Round Bar 25mm,50,1156,USD,57800,MT,2026-04-14,Open
4500013,20,MAT-45325,MS Round Bar 25mm,50,967,USD,48350,KG,2026-04-30,Closed
4500013,30,MAT-33788,Iron Angle 50x50,1000,782,USD,782000,M,2026-04-04,Fully Received
4500014,10,MAT-52081,Iron Angle 50x50,500,739,INR,369500,KG,2026-07-30,Closed
4500015,10,MAT-62488,Steel Pipe 2inch,250,1707,INR,426750,KG,2026-05-05,Fully Received
4500015,20,MAT-25194,MS Round Bar 25mm,250,1011,INR,252750,M,2026-04-13,Open
4500016,10,MAT-77952,Iron Angle 50x50,50,755,EUR,37750,MT,2026-06-03,Fully Received
4500016,20,MAT-45003,Titanium Plate 3mm,50,13810,EUR,690500,PC,2026-06-04,Partially Received
4500016,30,MAT-13783,Iron Angle 50x50,1000,875,EUR,875000,PC,2026-05-29,Closed
4500016,40,MAT-63476,Copper Wire 10mm,50,5628,EUR,281400,KG,2026-06-26,Closed
4500017,10,MAT-30181,Iron Angle 50x50,100,892,EUR,89200,M,2026-04-29,Partially Received
4500018,10,MAT-71894,Carbon Steel Sheet,500,1639,USD,819500,PC,2026-07-13,Fully Received
4500018,20,MAT-88561,Zinc Sheet 1mm,500,2348,USD,1174000,PC,2026-06-25,Open
